viewCount,likeCount,dislikeCount,favoriteCount,commentCount
18543713,4453997,87425,0,331878
132600352,11815011,312129,0,1477489
34076242,4792876,64443,0,346920
65522821,8358857,178855,0,880007
10938790,1166371,34482,0,70872
27917551,2408596,90199,0,65190
14695564,1562809,19549,0,40140
30339655,3028336,67140,0,112711
17455741,1793522,57245,0,70442
18296061,2169838,26159,0,58209
29025115,2916805,59941,0,83259
20054033,1930257,34332,0,46768
20501446,2238779,28532,0,60729
19325252,1617843,29306,0,53414
9503172,801644,14277,0,26041
37005578,3341823,61219,0,96428
11374595,1000072,18341,0,50626
12497003,1108055,25844,0,57119
26285280,2490064,34452,0,78398
29788991,2058315,38117,0,70829
9301301,924471,13677,0,28994
37468390,2517775,275515,0,307878
25747362,2084044,26934,0,64391
21650014,1612640,41317,0,56674
25667334,1458207,50795,0,67387
19951377,1701449,34141,0,44463
17862756,1489475,19789,0,62082
16153814,1384011,16602,0,52172
